idx,code,pos,school,rom_n,rom_c,rom_f,mat_n,mat_c,mat_f,mat_lang,mat_lang_n,mat_lang_c,mat_lang_f,media
1121,SB9741552,1121,"ŞCOALA GIMNAZIALĂ ""SAVA POPOVICI BARCIANU"" RĂŞINARI",7.70,-,-,7.95,-,-,-,-,-,-,7.82
1122,SB12060821,1122,ŞCOALA GIMNAZIALĂ NR. 13 SIBIU,7.55,-,-,8.10,-,-,-,-,-,-,7.82
1123,SB9815770,1123,"LICEUL TEORETIC ""GHEORGHE LAZĂR"" AVRIG",7.55,-,-,8.10,-,-,-,-,-,-,7.82
1124,SB9804953,1124,ŞCOALA GIMNAZIALĂ NR. 8 SIBIU,7.45,-,-,8.20,-,-,-,-,-,-,7.82
1125,SB10660805,1125,ŞCOALA GIMNAZIALĂ APOLDU DE JOS,7.00,-,-,8.65,-,-,-,-,-,-,7.82
1126,SB10542096,1126,ŞCOALA GIMNAZIALĂ NR. 3 CISNĂDIE,6.85,7.55,7.55,8.10,8.10,8.10,-,-,-,-,7.82
1127,SB10527895,1127,"LICEUL TEORETIC ""ONISIFOR GHIBU"" SIBIU",8.55,-,-,7.70,-,-,Limba germana,6.75,7.20,7.20,7.81
1128,SB12102253,1128,"COLEGIUL NAȚIONAL ""SAMUEL VON BRUKENTHAL"" SIBIU",8.30,-,-,8.40,-,-,Limba germana,6.75,-,-,7.81
1129,SB12210594,1129,ŞCOALA GIMNAZIALĂ NR. 4 SIBIU,8.95,-,-,6.65,-,-,-,-,-,-,7.80
1130,SB10298495,1130,"ŞCOALA GIMNAZIALĂ ""REGELE FERDINAND"" SIBIU",8.75,-,-,6.85,-,-,-,-,-,-,7.80
1131,SB10129290,1131,"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" SIBIU",8.60,-,-,7.10,-,-,Limba germana,7.70,-,-,7.80
1132,SB9626685,1132,LICEUL DE ARTĂ SIBIU,8.55,-,-,7.05,-,-,-,-,-,-,7.80
1133,SB10333860,1133,"ŞCOALA GIMNAZIALĂ ""CONSTANTIN IOAN MOTAŞ"" MEDIAŞ",8.50,-,-,7.10,-,-,-,-,-,-,7.80
1134,SB9474724,1134,"ŞCOALA GIMNAZIALĂ ""AUREL DECEI"" GURA RÂULUI",8.50,-,-,7.10,-,-,-,-,-,-,7.80
1135,SB12028540,1135,LICEUL ROMÂNO - FINLANDEZ ERI SIBIU,8.40,-,-,7.20,-,-,-,-,-,-,7.80
1136,SB10492683,1136,"LICEUL TEORETIC ""CONSTANTIN NOICA"" SIBIU",8.30,-,-,7.30,-,-,-,-,-,-,7.80
1137,SB10524765,1137,"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" SIBIU",8.10,-,-,7.05,-,-,Limba maghiara,8.25,-,-,7.80
1138,SB10318924,1138,ŞCOALA GIMNAZIALĂ NR. 13 SIBIU,8.05,-,-,7.55,-,-,-,-,-,-,7.80
1139,SB9988760,1139,"LICEUL TEHNOLOGIC ""IOAN LUPAŞ"" SĂLIŞTE",7.85,8.05,8.05,7.55,-,-,-,-,-,-,7.80
1140,SB8400902,1140,ŞCOALA GIMNAZIALĂ RACOVIŢA,7.80,-,-,7.80,-,-,-,-,-,-,7.80
1141,SB10596045,1141,ŞCOALA GIMNAZIALĂ NR. 7 MEDIAŞ,7.50,-,-,8.10,-,-,-,-,-,-,7.80
1142,SB10400155,1142,ŞCOALA GIMNAZIALĂ NR. 25 SIBIU,7.35,-,-,8.25,-,-,-,-,-,-,7.80
1143,SB10329993,1143,"ŞCOALA GIMNAZIALĂ ""CONSTANTIN IOAN MOTAŞ"" MEDIAŞ",7.00,-,-,8.60,-,-,-,-,-,-,7.80
1144,SB10383795,1144,ŞCOALA GIMNAZIALĂ NR. 18 SIBIU,7.00,-,-,8.60,-,-,-,-,-,-,7.80
1145,SB10114185,1145,ŞCOALA GIMNAZIALĂ NR. 1 SIBIU,6.95,-,-,8.65,-,-,-,-,-,-,7.80
1146,SB12368229,1146,"LICEUL TEORETIC ""ONISIFOR GHIBU"" SIBIU",6.85,-,-,8.60,-,-,Limba germana,7.95,-,-,7.80
1147,SB10528890,1147,ŞCOALA GIMNAZIALĂ NR. 21 SIBIU,8.40,-,-,7.15,-,-,-,-,-,-,7.77
1148,SB10383957,1148,LICEUL DE ARTĂ SIBIU,8.35,-,-,7.20,-,-,-,-,-,-,7.77
1149,SB9623870,1149,ŞCOALA GIMNAZIALĂ NR. 25 SIBIU,8.30,-,-,7.25,-,-,-,-,-,-,7.77
1150,SB12733399,1150,"ŞCOALA GIMNAZIALĂ ""AVIATOR IOAN SAVA"" ALŢINA",8.05,-,-,7.50,-,-,-,-,-,-,7.77
1151,SB8252007,1151,"ŞCOALA GIMNAZIALĂ ""SAMUIL MICU"" SADU",8.00,-,-,7.55,-,-,-,-,-,-,7.77
1152,SB10331395,1152,"ŞCOALA GIMNAZIALĂ ""CIREŞARII"" MEDIAŞ",7.95,-,-,7.60,-,-,-,-,-,-,7.77
